Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type
Kothari Agritech,4.7,(499 reviews),0,"Building Material, Private, Corporate, B2C, B2B",Private,1997 (27 yrs old),,"Solapur, Maharashtra",http://kotharigroupindia.com,Corporate
Mrs Bectors Foods Specialities Ltd,4.1,(209 reviews),172 followers ,"Food Processing, FMCG, Public, Corporate, B2C, Conglomerate",Public,1978 (46 yrs old),501-1000,,http://www.cremica.com,Corporate
Asutosh College,4.3,(6 reviews),0,"Education / Training, Private, Corporate, B2C",Private,1916 (108 yrs old),51-200,,,Corporate
Tecosim Engineering Services,,,0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,2009 (15 yrs old),501-1000,,https://www.tecosim.com/in/,Corporate
Tikidan,3.7,(17 reviews),0,"Engineering & Construction, Chemicals, Private, Corporate, B2C, B2B",Private,2012 (12 yrs old),51-200,"Mumbai, India",https://tikidan.in/,Corporate
Utsav Safety Systems,,,0,"Auto Components, Private, Corporate, B2B",Private,2001 (23 yrs old),02-Oct,,https://utsavhsrp.com/,Corporate
Zeki Software,4.9,(3 reviews),102 followers ,"Software Product, Private, Corporate, B2B",Private,2006 (18 yrs old),Nov-50,,,Corporate
Kirat It Solutions,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2015 (9 yrs old),Nov-50,,http://kiratitsolutions.com,Corporate
Doodleblue Innovations,4.3,(240 reviews),0,"IT Services & Consulting, Emerging Technologies, Advertising & Marketing, Private, Corporate, B2B",Private,2011 (13 yrs old),501-1000,"Chennai, India",https://www.doodleblue.com/,Corporate
Health Total,,,0,"Fitness & Wellness, Private, Corporate, B2C",Private,1997 (27 yrs old),201-500,,http://www.health-total.com,Corporate
Watershed Organisation Trust(WOTR),3.7,(28 reviews),0,"NGO / Social Services / Industry Associations, Private, Corporate, B2B",Private,1993 (31 yrs old),501-1000,,http://www.wotr.org,Corporate
Secure Application,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2001 (23 yrs old),51-200,,,Corporate
Eazy Erp Technologies,3.9,(32 reviews),0,"IT Services & Consulting, Private, Corporate, B2C, B2B",Private,2007 (17 yrs old),51-200,,https://eazyerp.com/,Corporate
Lohia Corp,3.8,(460 reviews),0,"Industrial Equipment / Machinery, Public, Corporate, B2B",Public,1976 (48 yrs old),1001-5000,,http://www.lohiagroup.com/,Corporate
Supercon Infoservices,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.superconinfo.com,Corporate
Raychem RPG,4,(518 reviews),0,"Electrical Equipment, Import & Export, Power, Private, Corporate, B2B",Private,1989 (35 yrs old),5001-10000,"Mumbai, Maharashtra",http://www.raychemrpg.com,Corporate
Drish Infotech,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,1999 (25 yrs old),51-200,,http://www.drishinfo.com,Corporate
NIELSENIQ INDIA,3.9,(760 reviews),1.2K followers ,"IT Services & Consulting, Analytics / KPO / Research, Corporate, B2B",,1923 (101 yrs old),100001+,"Chicago, United States (USA)",https://nielseniq.com/global/en/,Corporate
Vcommission Media,,,0,"Advertising & Marketing, Private, Corporate, B2B",Private,2008 (16 yrs old),51-200,,http://www.vcommission.com,Corporate
TRS Staffing Solutions,4.7,(35 reviews),0,"Recruitment / Staffing, Private, Corporate, B2C, B2B",Private,1984 (40 yrs old),51-200,,https://www.trsstaffing.com/india#,Corporate
Christian Medical College (CMC),4.2,(290 reviews),0,"Education / Training, Medical Services / Hospital, Private, Corporate, B2C",Private,1900 (124 yrs old),5001-10000,,http://www.cmch-vellore.edu,Corporate
Billabong High International School,3.7,(196 reviews),0,"Education / Training, Public, Corporate, B2C",Public,2009 (15 yrs old),201-500,,,Corporate
MTC Business ,,,0,"Metals & Mining, Private, Corporate, B2B",Private,1999 (25 yrs old),501-1000,,http://www.mtcgroupholding.com,Corporate
Roots Industries India Limited,4.3,(132 reviews),3.8K followers ,"Hotels & Restaurants, Travel & Tourism / Hospitality, Private, Corporate, B2C",Private,2003 (21 yrs old),501-1000,,https://www.gingerhotels.com,Corporate
Youngman India,3.9,(76 reviews),0,"Internet, Engineering & Construction, Private, Corporate, B2B",Private,2011 (13 yrs old),201-500,"Greater Noida, Uttar Pradesh",http://www.youngman.rent,Corporate
Amara Raja Power,4.1,(217 reviews),683 followers ,"Auto Components, Power, Corporate, B2B",,1985 (39 yrs old),10001-50000,,,Corporate
Tatvik,,,0,"Telecom / ISP, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.tatvik.com,Corporate
GeekyAnts,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2006 (18 yrs old),201-500,,https://GeekyAnts.com,Corporate
Ray Business Technologies,,,0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,2008 (16 yrs old),201-500,,https://www.raybiztech.com/,Corporate
Cleantech Tele Tower Services,4.2,(15 reviews),0,"IT Services & Consulting, Telecom / ISP, Corporate, B2B",,2011 (13 yrs old),,,http://www.cleantechtelecom.com,Corporate
Ashu Organics,,,0,"Chemicals, Private, Corporate, B2B",Private,1982 (42 yrs old),51-200,,https://www.ashuorganics.com/,Corporate
Atlas Tours & Travels,4.3,(57 reviews),0,"Travel & Tourism, Private, Corporate, B2C, B2B",Private,1988 (36 yrs old),201-500,"Mumbai, Maharashtra",http://www.atlastravels.com,Corporate
Vivaan Solar,4.3,(45 reviews),0,"Power, Private, Corporate, B2B",Private,2012 (12 yrs old),Nov-50,,https://www.vivaansolar.com/,Corporate
ProProfs,3.8,(87 reviews),0,"Software Product, Private, Corporate, B2B, SaaS",Private,2010 (14 yrs old),Nov-50,"San Francisco, California",http://www.proprofs.com,Corporate
Centum Learning,3.8,(455 reviews),0,"Education / Training, Private, Corporate, B2C",Private,2007 (17 yrs old),1001-5000,,https://www.centumlearning.com/,Corporate
WSFx,4,(28 reviews),0,"FinTech / Payments, Financial Services, Public, Corporate",Public,1986 (38 yrs old),51-200,,http://www.wsfx.in,Corporate
Vikrant Forge,3.7,(20 reviews),0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1992 (32 yrs old),51-200,,http://www.vikrantforge.com,Corporate
Beyond Key,4.5,(109 reviews),119 followers ,"IT Services & Consulting, Private, Corporate, B2B, E-commerce",Private,2005 (19 yrs old),201-500,,http://www.beyondkey.com,Corporate
Halonix Technologies,4.2,(246 reviews),0,"Electronics Manufacturing, Power, Engineering & Construction, Private, Corporate, B2C, B2B",Private,2013 (11 yrs old),1001-5000,,http://www.halonix.co.in/,Corporate
Teklink Software,3.7,(28 reviews),0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,1998 (26 yrs old),51-200,,https://www.teklink.com/,Corporate
CL Educate,3.9,(119 reviews),0,"Education / Training, Public, Corporate, B2C",Public,1996 (28 yrs old),201-500,,http://www.cleducate.com/,Corporate
The Brand Saloon (TBS),4,(5 reviews),0,"Advertising & Marketing, Internet, Private, Corporate, B2B",Private,2008 (16 yrs old),Nov-50,,http://www.thebrandsaloon.com,Corporate
Kruti Systems,,,0,"Software Product, LLP, Corporate, B2B",LLP,1992 (32 yrs old),Nov-50,,http://krutisystems.com/,Corporate
Neerja Softwares,5,(11 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2007 (17 yrs old),51-200,,http://www.neerjasoftwares.com,Corporate
Premsons Motor Udyog,4.1,(90 reviews),0,"Auto Components, Automobile, Private, Corporate, B2C",Private,1996 (28 yrs old),51-200,,http://premsonsmotor.com/,Corporate
Sarjen,4,(55 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,1998 (26 yrs old),51-200,,https://www.sarjen.com/,Corporate
Kothari Agritech,4.7,(499 reviews),0,"Building Material, Private, Corporate, B2C, B2B",Private,1997 (27 yrs old),,"Solapur, Maharashtra",http://kotharigroupindia.com,Corporate
Sleek Infosolutions,3.9,(26 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),51-200,,https://www.sleekinfosolutions.com/index.html,Corporate
Ozone Overseas,3.9,(272 reviews),262 followers ,"Architecture / Interior Design, Building Material, Private, Corporate, B2C",Private,2000 (24 yrs old),501-1000,"New Delhi, Delhi",https://www.ozone-india.com/,Corporate
Aneja Associates,,,0,"Accounting / Auditing, Private, Corporate, B2B",Private,1981 (43 yrs old),201-500,,https://www.anejaassociates.com/,Corporate
Amanta Healthcare,4.2,(124 reviews),0,"Pharmaceutical & Life Sciences, Biotechnology, Private, Corporate, B2B",Private,1998 (26 yrs old),201-500,,http://www.amanta.co.in/,Corporate
Saffron Tech,3.8,(59 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2008 (16 yrs old),51-200,,http://www.saffrontech.net/,Corporate
InteleANTS,,,0,"BPO / Call Centre, Private, Corporate, B2B",Private,2005 (19 yrs old),Nov-50,,https://www.inteleants.com,Corporate
Linfox Logistics,4.2,(146 reviews),144 followers ,"Urban Transport, Logistics / Shipping, Private, Corporate, B2B",Private,1956 (68 yrs old),10001-50000,,,Corporate
enertia,,,0,"Oil & Gas, Private, Corporate, B2B",Private,1985 (39 yrs old),51-200,,http://www.enertia-software.com,Corporate
Continental Hospitals,4,(134 reviews),0,"Medical Services / Hospital, Private, Corporate, B2C, B2B",Private,2007 (17 yrs old),501-1000,,http://www.continentalhospitals.com,Corporate
LNJ Institute of Skills and Technology,,,0,"Education / Training, Private, Corporate, B2C",Private,1995 (29 yrs old),,,https://www.lnjbhilwara.com/,Corporate
Prudent Insurance Brokers,3.8,(92 reviews),0,"Insurance, Financial Services, Private, Corporate, B2B",Private,2005 (19 yrs old),501-1000,"Mumbai, Maharashtra",http://www.prudentbrokers.com,Corporate
Vijaya Diagnostic Centre,4,(509 reviews),0,"Medical Services / Hospital, Private, Corporate, B2C",Private,1981 (43 yrs old),501-1000,,http://www.vijayadiagnostic.com,Corporate
Embitel Technologies,4.2,(130 reviews),0,"IT Services & Consulting, Hardware & Networking, Private, Corporate, B2B",Private,2006 (18 yrs old),501-1000,,https://www.embitel.com/,Corporate
DCKAP,3.6,(23 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2005 (19 yrs old),51-200,,https://www.dckap.com,Corporate
NOVAC,4,(369 reviews),0,"Software Product, FinTech / Payments, Private, Corporate, B2C, B2B",Private,2006 (18 yrs old),1001-5000,,http://www.novactech.in,Corporate
Kogta,4.8,(3K reviews),0,"NBFC, Financial Services, Public, Corporate, B2C, B2B",Public,1996 (28 yrs old),1001-5000,"Jaipur, India",http://www.kogta.in,Corporate
Yashoda Super Specialty Hospital,3.9,(659 reviews),0,"Medical Services / Hospital, Clinical Research / Contract Research, Private, Corporate, B2C",Private,1989 (35 yrs old),1001-5000,,https://www.yashodahospitals.com/,Corporate
Ascent Business Solutions,,,0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,2001 (23 yrs old),1001-5000,,http://www.ascent-group.com,Corporate
Dodla Dairy,4.3,(445 reviews),0,"Food Processing, Agriculture / Forestry / Fishing, Import & Export, Private, Corporate, B2C, B2B",Private,1995 (29 yrs old),1001-5000,,https://www.dodladairy.com/,Corporate
Intex Technologies,3.7,(728 reviews),178 followers ,"Consumer Electronics & Appliances, Public, Corporate, Indian MNC, B2C",Public,1996 (28 yrs old),10001-50000,,https://www.intex.in/,Corporate
Ambience Group,,,0,"Real Estate, Private, Corporate, B2C, B2B",Private,1986 (38 yrs old),501-1000,,http://www.ambiencegroup.in,Corporate
Relyon,4,(132 reviews),0,"Software Product, Internet, Accounting / Auditing, Public, Corporate, B2B",Public,2001 (23 yrs old),201-500,,,Corporate
SRR Projects,3.9,(138 reviews),0,"Engineering & Construction, Private, Corporate, B2B",Private,2006 (18 yrs old),1001-5000,,http://srrprojects.com/,Corporate
Acknown Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),51-200,,http://www.acknown.com,Corporate
Beumer,4,(143 reviews),0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1935 (89 yrs old),1001-5000,,https://www.beumergroup.com,Corporate
Vagaro,,,0,"Software Product, Private, Corporate, B2C",Private,2009 (15 yrs old),51-200,,http://www.vagaro.com,Corporate
Mazenet,4.1,(44 reviews),0,"IT Services & Consulting, Internet, Recruitment / Staffing, Education / Training, Private, Corporate, B2C, B2B",Private,2001 (23 yrs old),51-200,"Chennai, India",https://www.mazenet.com/,Corporate
Centre for Investment Education And Learning,,,0,"e-Learning / EdTech, Corporate, B2C, B2B",,,,,,Corporate
Stallion Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),Nov-50,,http://www.stalliontechnologies.in/,Corporate
Buzzworks Business Services,3.9,(313 reviews),148 followers ,"Recruitment / Staffing, Consulting, Private, Corporate, B2B",Private,1999 (25 yrs old),10001-50000,,http://www.buzzworks.com/,Corporate
West Agile Labs,3.6,(108 reviews),0,"IT Services & Consulting, Furniture & Furnishing, Software Product, Corporate, B2B",,2015 (9 yrs old),501-1000,,http://www.wavelabs.in,Corporate
COEPD,,,0,"IT Services & Consulting, LLC, Corporate, B2B",LLC,2010 (14 yrs old),51-200,,https://www.coepd.com/,Corporate
Karmick Solutions,4.5,(17 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,1999 (25 yrs old),51-200,,http://www.karmicksolutions.com,Corporate
Potential Project Managers,4.1,(15 reviews),0,"Engineering & Construction, Private, Corporate, B2B",Private,1989 (35 yrs old),51-200,,https://www.potentialpmc.com/,Corporate
EWALL Solutions,4,(7 reviews),0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2013 (11 yrs old),Nov-50,,https://www.ewallsolutions.com/,Corporate
United Drilling Tools,,,0,"Oil & Gas, Public, Corporate, B2B",Public,1986 (38 yrs old),501-1000,,http://www.udtltd.com,Corporate
M V Hospital,,,0,"Medical Services / Hospital, Private, Corporate, B2C",Private,1954 (70 yrs old),201-500,,https://www.mvdiabetes.com/,Corporate
Jamboree Education,3.8,(127 reviews),0,"e-Learning / EdTech, Internet, Education / Training, Private, Corporate, B2C",Private,1993 (31 yrs old),201-500,,https://www.jamboreeIndia.com/,Corporate
Equiniti India,3.7,(273 reviews),3.1K followers ,"IT Services & Consulting, BPO / Call Centre, Public, Corporate, B2B",Public,2014 (10 yrs old),1001-5000,"Chennai, Tamil Nadu",https://www.equiniti-india.com/,Corporate
ePaisa,5,(3 reviews),137 followers ,"FinTech / Payments, Private, Corporate, B2B",Private,2012 (12 yrs old),51-200,,,Corporate
G Plast,3.7,(87 reviews),0,"Electronics Manufacturing, Private, Corporate, B2B",Private,1984 (40 yrs old),51-200,"Coimbatore, Tamil Nadu",http://www.gplast.com/,Corporate
VKC Group,4,(267 reviews),0,"Textile & Apparel, Consumer goods, Manufacturing, Private, Corporate, B2C",Private,1984 (40 yrs old),10001-50000,,,Corporate
Medi Assist,3.7,(1.2K reviews),0,"Insurance, Internet, Private, Corporate, B2C, B2B, Minicorn",Private,2000 (24 yrs old),1001-5000,,,Corporate
SHYAM METALICS AND ENERGY,3.7,(696 reviews),0,"Iron & Steel, Power, Private, Corporate, B2B",Private,1995 (29 yrs old),1001-5000,,http://www.shyammetalics.com,Corporate
Eteam,,,0,"Recruitment / Staffing, Private, Corporate, B2B",Private,1999 (25 yrs old),501-1000,,http://www.eteaminc.com,Corporate
Selfdrive.in,,,991 followers ,"Internet, Private, Corporate, B2C, E-commerce",Private,2005 (19 yrs old),Nov-50,,,Corporate
SiamComputing,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2012 (12 yrs old),51-200,,http://siamcomputing.com,Corporate
Creaa Designs,4.4,(3 reviews),0,"Advertising & Marketing, Private, Corporate, B2B",Private,2007 (17 yrs old),Nov-50,,https://www.creaadesigns.com/,Corporate
Buddy4Study,,,149 followers ,"e-Learning / EdTech, Internet, Private, Corporate, B2C, Minicorn",Private,2011 (13 yrs old),Nov-50,,,Corporate
Zee Learn,3.9,(187 reviews),0,"Education / Training, Public, Corporate, B2C",Public,2016 (8 yrs old),501-1000,,http://zeelearn.com/,Corporate
Novire Technologies,4.7,(26 reviews),0,"IT Services & Consulting, Internet, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,2007 (17 yrs old),51-200,,,Corporate
Me n Moms,4.3,(454 reviews),0,"Retail, Textile & Apparel, Corporate, B2C",Private,1994 (30 yrs old),501-1000,,,Corporate
Bizmatics India,3.7,(91 reviews),0,"Software Product, Advertising / PR / Events, Private, Corporate, B2B",Private,2002 (22 yrs old),201-500,,,Corporate
Robosoft Technologies,,,0,"IT Services & Consulting, Internet, Private, Corporate, B2B",Private,1996 (28 yrs old),501-1000,"New Udupi, India",http://www.robosoftin.com,Corporate
News Technology Services,4.2,(59 reviews),0,"Film / Music / Entertainment, Corporate, B2B",,2015 (9 yrs old),10001-50000,,https://newscorp.com/,Corporate
Checkmate Services,4.3,(225 reviews),0,"Facility Management Services, Law Enforcement / Security Services, Private, Corporate, B2C",Private,1992 (32 yrs old),10001-50000,,https://www.checkmateservices.com/,Corporate
Sheth Developers,3.6,(71 reviews),0,"Real Estate, Urban Transport, Private, Corporate, B2C, B2B",Private,1986 (38 yrs old),201-500,,http://www.shethdevelopers.com,Corporate
Doodleblue Innovations,4.3,(240 reviews),0,"IT Services & Consulting, Emerging Technologies, Advertising & Marketing, Private, Corporate, B2B",Private,2011 (13 yrs old),501-1000,"Chennai, India",https://www.doodleblue.com/,Corporate
Cubastion Consulting,4.5,(270 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2006 (18 yrs old),01-Oct,,http://www.cubastion.com,Corporate
Nelito System,3.6,(402 reviews),0,"IT Services & Consulting, Financial Services, Software Product, Private, Corporate, B2B",Private,1995 (29 yrs old),1001-5000,,https://www.nelito.com,Corporate
Corwhite Solutions,4.1,(31 reviews),0,"Accounting / Auditing, Financial Services, Private, Corporate, B2B",Private,2012 (12 yrs old),51-200,,http://www.corwhite.com,Corporate
SPEC INDIA,4.5,(88 reviews),0,"IT Services & Consulting, Design, Software Product, Private, Corporate, B2B",Private,1987 (37 yrs old),201-500,"Ahmedabad, India",https://www.spec-india.com,Corporate
Flender,3.9,(86 reviews),0,"Industrial Equipment / Machinery, Private, Corporate, B2C, B2B",Private,1899 (125 yrs old),5001-10000,,http://www.flender.com,Corporate
Brennan IT,3.6,(84 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,1997 (27 yrs old),501-1000,,https://www.brennanit.com.au/,Corporate
Cool Aid,,,0,"Electrical Equipment, Public, Corporate, B2B",Public,1993 (31 yrs old),501-1000,,http://www.coolaid.in/openings.php,Corporate
Srinivasa Farms,4.2,(77 reviews),0,"Food Processing, FMCG, Private, Corporate, B2C, B2B",Private,1965 (59 yrs old),1001-5000,,http://srinivasa.co/,Corporate
Shiv Shakti Wahan,4.5,(20 reviews),0,"Auto Components, Private, Corporate, B2C",Private,2011 (13 yrs old),Nov-50,,http://www.shivshaktiwahan.com/,Corporate
MagicBricks,,,152 followers ,"Internet, Real Estate, Private, Corporate, B2C, B2B",Private,2006 (18 yrs old),501-1000,,,Corporate
Shri Venkateshwara University,4.4,(118 reviews),0,"Education / Training, Private, Corporate, B2C",Private,2010 (14 yrs old),501-1000,,https://svu.edu.in/,Corporate
Hyundai Construction Equipment,4.4,(264 reviews),0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,2007 (17 yrs old),1001-5000,,http://www.hyundaiindia.net,Corporate
Stalwart Management Consulting,4.2,(16 reviews),0,"Recruitment / Staffing, LLP, Corporate, B2C, B2B",LLP,2009 (15 yrs old),51-200,,http://www.stalwartmanagement.com,Corporate
Stripe,3.6,(18 reviews),0,"FinTech / Payments, Internet, Private, Corporate, B2C, B2B",Private,2010 (14 yrs old),1001-5000,"San Francisco, California",https://stripe.com/in,Corporate
TresVista Financial Services,,,749 followers ,"Financial Services, Private, Corporate, B2B",Private,2006 (18 yrs old),1001-5000,"Mumbai, India",https://www.tresvista.com/,Corporate
FUNDreamz,,,0,"Advertising & Marketing, Private, Corporate, B2B",Private,2010 (14 yrs old),Nov-50,,https://www.fundreamz.com/,Corporate
eZee Technosys,4.5,(45 reviews),0,"Hotels & Restaurants, IT Services & Consulting, Private, Corporate, B2B",Private,2005 (19 yrs old),51-200,,https://www.ezeetechnosys.com,Corporate
AstroVed,3.9,(23 reviews),0,"Internet, Private, Corporate, B2C, E-commerce",Private,2003 (21 yrs old),51-200,,,Corporate
Visaka Industries,4.1,(341 reviews),0,"Building Material, Engineering & Construction, Public, Corporate, B2B",Public,1981 (43 yrs old),1001-5000,,https://www.visaka.co/,Corporate
