Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category
Volga Infotech,4.0,(13 reviews),0,"IT Services & Consulting, BPO / Call Centre, Private, Corporate, B2B",Private,2008 (16 yrs old),Nov-50,,http://www.volgainfotech.com,Corporate,Small
VMR Vision,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),02-Oct,,http://www.vmrvision.com/,Corporate,Small
Vasan Eye Care,4.0,(256 reviews),384 followers ,"Medical Services / Hospital, Private, Corporate, B2C",Private,2002 (22 yrs old),5001-10000,,,Corporate,Medium
Hungama,,,1.5K followers ,"Film / Music / Entertainment, Media & Entertainment / Publishing, Corporate, B2C, B2B",,1999 (25 yrs old),501-1000,,,Corporate,Medium
Mirza International,3.9,(242 reviews),0,"Textile & Apparel, Retail, Public, Corporate, B2C",Public,1979 (45 yrs old),5001-10000,,http://www.mirza.co.in,Corporate,Medium
Copart India,4.1,(94 reviews),0,"Automobile, IT Services & Consulting, Corporate, B2B",,1982 (42 yrs old),,,http://www.copart.com,Corporate,
Vedams Software Solutions,4.7,(9 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2000 (24 yrs old),Nov-50,,https://www.vedams.com,Corporate,Small
InSemi Technology Services,4.1,(51 reviews),174 followers ,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2013 (11 yrs old),1001-5000,"Bangalore / Bengaluru, Karnataka",https://www.insemitech.com/,Corporate,Medium
Acme Infolabs,5.0,(58 reviews),0,"IT Services & Consulting, Analytics / KPO / Research, Private, Corporate, B2B",Private,2016 (8 yrs old),51-200,,https://www.acmeinfolabs.com,Corporate,Small
Actis Technologies,4.1,(106 reviews),0,"IT Services & Consulting, Telecom / ISP, Private, Corporate, B2B",Private,1971 (53 yrs old),201-500,,https://www.actis.co.in/,Corporate,Medium
Aimil,,,0,"Pharmaceutical & Life Sciences, Engineering & Construction, Private, Corporate, B2B",Private,1932 (92 yrs old),501-1000,,https://www.aimil.com/,Corporate,Medium
Saraswati Online.Com,4.4,(10 reviews),0,"e-Learning / EdTech, Private, Corporate, B2C",Private,2000 (24 yrs old),51-200,,,Corporate,Small
Cargo Motors,3.8,(202 reviews),0,"Automobile, Retail, Private, Corporate, B2B",Private,1959 (65 yrs old),1001-5000,,http://www.cargomotors.com/,Corporate,Medium
HyTech Professionals,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),201-500,,https://www.hytechpro.com/,Corporate,Medium
Dynakode Technology,4.4,(8 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),Nov-50,,https://dynakode.com/,Corporate,Small
Rance Computer,,,0,"Software Product, Internet, Private, Corporate, B2B",Private,1996 (28 yrs old),51-200,,,Corporate,Small
Fortis,4.1,(1.9K reviews),62.8K followers ,"Medical Services / Hospital, Public, Corporate, B2C",Public,1996 (28 yrs old),10001-50000,,http://www.fortishealthcare.com/,Corporate,Large
Dhii Health Tech,4.7,(25 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),51-200,,http://www.dhii.in/,Corporate,Small
K Raheja Corp,4.3,(521 reviews),20K followers ,"Real Estate, Private, Corporate, B2C, B2B",Private,1956 (68 yrs old),1001-5000,"Mumbai, India",https://www.krahejacorp.com/,Corporate,Medium
Trimurti Corns Agro Foods,,,0,"Agriculture / Forestry / Fishing, Food Processing, Corporate, B2B",,2007 (17 yrs old),,,http://www.trimurticorns.com,Corporate,
Radiant Cash Management Services,,,0,"Financial Services, Private, Corporate, B2B",Private,2005 (19 yrs old),5001-10000,,,Corporate,Medium
Jasch Industries,4.6,(12 reviews),0,"Textile & Apparel, Public, Corporate, B2B",Public,1985 (39 yrs old),201-500,,http://www.jaschindustries.com,Corporate,Medium
EbixCash Financial Technologies (ECFT),3.9,(42 reviews),0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,1990 (34 yrs old),501-1000,,http://www.indussoft.com,Corporate,Medium
Kalpataru Group,3.9,(681 reviews),14.7K followers ,"Real Estate, Private, Corporate, B2C, B2B, Conglomerate",Private,1969 (55 yrs old),1001-5000,,,Corporate,Medium
Weavers Web,4.4,(31 reviews),0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,http://www.weavers-web.com,Corporate,Small
Strategic Learning Solutions,4.4,(117 reviews),0,"BPO / Call Centre, Education / Training, Private, Corporate, B2B",Private,1996 (28 yrs old),201-500,,https://www.sls-india.com/,Corporate,Medium
Caprus IT,4.1,(25 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2006 (18 yrs old),501-1000,"Hyderabad / Secunderabad, Telangana",http://www.caprusit.com,Corporate,Medium
XOTIK,,,0,"Beverage, Financial Services, Private, Corporate, B2C",Private,2007 (17 yrs old),201-500,,https://www.xotik.co.in/,Corporate,Medium
Amosta,4.4,(18 reviews),0,"IT Services & Consulting, Private, Corporate, B2C, B2B",Private,2015 (9 yrs old),51-200,,https://www.amosta.com/,Corporate,Small
SevenMentor,4.5,(172 reviews),0,"Education / Training, Financial Services, Private, Corporate, B2B",Private,2009 (15 yrs old),51-200,,https://www.sevenmentor.com/,Corporate,Small
Manipal Hospitals,4.2,(1.1K reviews),11.8K followers ,"Medical Services / Hospital, Private, Corporate, B2C, B2B",Private,1953 (71 yrs old),5001-10000,"Bangalore / Bengaluru, Karnataka",https://www.manipalhospitals.com/,Corporate,Medium
NetSkope Software,4.0,(6 reviews),0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,2012 (12 yrs old),501-1000,,https://www.netskope.com,Corporate,Medium
Grasko Solutions,3.9,(44 reviews),0,"Medical Services / Hospital, Private, Corporate, B2B",Private,1997 (27 yrs old),51-200,"Bengaluru/Bangalore, India",https://www.grasko.com/Grasko/index.html,Corporate,Small
Webguruz Technologies,4.1,(24 reviews),0,"IT Services & Consulting, Design, Advertising & Marketing, Private, Corporate, B2B",Private,2008 (16 yrs old),51-200,"Mohali, India",https://webguruz.in/,Corporate,Small
System Consultant Information India,3.7,(18 reviews),0,"Software Product, Corporate, B2B",,2005 (19 yrs old),,,,Corporate,
Reliance Retail,4.0,(19.6K reviews),100.5K followers ,"Retail, Textile & Apparel, Private, Corporate, B2C",Private,2006 (18 yrs old),100001+,"Mumbai, Maharashtra",https://relianceretail.com/,Corporate,Large
Oberoi Realty,3.9,(253 reviews),3.9K followers ,"Real Estate, Engineering & Construction, Public, Corporate, B2C, B2B",Public,1980 (44 yrs old),501-1000,,https://www.oberoirealty.com/,Corporate,Medium
Enaltec,,,0,"Pharmaceutical & Life Sciences, Corporate, B2B",,2006 (18 yrs old),501-1000,,http://www.enaltec.com,Corporate,Medium
Ruchi Soya Industries,4.0,(911 reviews),0,"FMCG, Public, Corporate, B2B",Public,1986 (38 yrs old),5001-10000,,http://www.ruchisoya.com,Corporate,Medium
Dolat Capital,3.6,(29 reviews),0,"Financial Services, Private, Corporate, B2C, B2B",Private,1970 (54 yrs old),Nov-50,,http://www.dolatcapital.com,Corporate,Small
Vijai Electricals,3.7,(373 reviews),0,"Power, Metals & Mining, Private, Corporate, B2B",Private,1973 (51 yrs old),5001-10000,"Hyderabad / Secunderabad, Telangana",http://www.vijaielectricals.com,Corporate,Medium
visionspring,4.3,(44 reviews),0,"NGO / Social Services / Industry Associations, Private, Corporate, B2C",Private,2001 (23 yrs old),51-200,,,Corporate,Small
Neolite Zkw Lightings,3.6,(150 reviews),0,"Auto Components, Private, Corporate, B2C",Private,1952 (72 yrs old),1001-5000,,http://www.neolitezkw.com,Corporate,Medium
Clinton Health Access Initiative (CHAI),3.9,(41 reviews),2.1K followers ,"NGO / Social Services / Industry Associations, NGO/NPO, Corporate, B2C",NGO/NPO,2002 (22 yrs old),1001-5000,,,Corporate,Medium
VEDAVAAG Systems,4.4,(20 reviews),0,"Software Product, IT Services & Consulting, Public, Corporate, B2B",Public,1998 (26 yrs old),Nov-50,,,Corporate,Small
Nissi Infotech,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,1997 (27 yrs old),Nov-50,,http://www.nissiinfotech.com,Corporate,Small
JIL Information Technology,3.9,(59 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2000 (24 yrs old),201-500,,http://www.jilit.co.in/,Corporate,Medium
Akhil Systems,3.6,(24 reviews),0,"Medical Services / Hospital, Private, Corporate, B2B",Private,1989 (35 yrs old),51-200,,http://www.akhilsystems.com,Corporate,Small
CONCORD,3.7,(249 reviews),0,"Pharmaceutical & Life Sciences, Public, Corporate, B2B, Conglomerate",Public,2000 (24 yrs old),501-1000,,http://www.concordbiotech.com,Corporate,Medium
Lee Pharma,3.7,(156 reviews),0,"Pharmaceutical & Life Sciences, Private, Corporate, B2B",Private,1997 (27 yrs old),201-500,,http://leepharma.com/,Corporate,Medium
Appidi Technologies,,,0,"Pharmaceutical & Life Sciences, Private, Corporate, B2B",Private,1997 (27 yrs old),51-200,,http://appiditech.com,Corporate,Small
Impact HR Services,4.1,(11 reviews),0,"Recruitment / Staffing, Corporate, B2C, B2B",,1994 (30 yrs old),51-200,,https://www.impsmanagement.com/,Corporate,Small
Empower Integrated Solutions,3.7,(29 reviews),0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,1996 (28 yrs old),51-200,,http://www.empower-solutions.com,Corporate,Small
AvioHeliTronics InfoSystems (AIS),3.7,(37 reviews),0,"Aviation, Private, Corporate, B2B",Private,2007 (17 yrs old),201-500,,http://www.aviohelitronics.com/,Corporate,Medium
Alibaba.com,4.1,(43 reviews),0,"Internet, Hardware & Networking, Software Product, Public, Corporate, B2C, B2B, E-commerce",Public,1999 (25 yrs old),10001-50000,,http://www.alibabagroup.com,Corporate,Large
Win Pens,,,0,"Miscellaneous, Private, Corporate, B2C",Private,2007 (17 yrs old),51-200,,,Corporate,Small
Aithent,3.6,(56 reviews),0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,1991 (33 yrs old),501-1000,,http://www.aithent.com,Corporate,Medium
Anibrain Digital Technologies,,,0,"Animation & VFX, Financial Services, Private, Corporate, B2B",Private,2006 (18 yrs old),501-1000,,https://anibrain.com/,Corporate,Medium
YNG Media,3.9,(6 reviews),0,"Advertising & Marketing, Corporate, B2B",,2010 (14 yrs old),,,https://www.yngmedia.com/,Corporate,
Telliant Systems,3.6,(28 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,https://www.telliant.com/,Corporate,Small
Synthite,3.9,(147 reviews),128 followers ,"Food Processing, Import & Export, Private, Corporate, B2B",Private,1972 (52 yrs old),1001-5000,"Kolenchery, Kerala",http://www.synthite.com,Corporate,Medium
Y-cook,,,0,"Food Processing, Private, Corporate, B2C, B2B",Private,2013 (11 yrs old),51-200,,http://www.tadaa.in,Corporate,Small
Wenger & Watson,,,0,"Recruitment / Staffing, Corporate, B2B",,2002 (22 yrs old),,,http://wengerwatson.com/,Corporate,
Ideavate Solutions,4.9,(12 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2003 (21 yrs old),Nov-50,,http://www.ideavate.com/,Corporate,Small
Asmaitha Wireless Technologies,4.1,(11 reviews),0,"Telecom / ISP, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,https://asmaitha.com/,Corporate,Small
CIMCON Software,,,0,"Software Product, Hardware & Networking, Private, Corporate, B2B",Private,1988 (36 yrs old),Nov-50,,http://www.cimcon.com,Corporate,Small
NETBRAMHA STUDIOS,3.9,(5 reviews),0,"Design, IT Services & Consulting, LLP, Corporate, B2B",LLP,2008 (16 yrs old),,"Bengaluru/Bangalore, Karnataka",https://netbramha.com,Corporate,
Saankhya Labs,4.5,(32 reviews),0,"Hardware & Networking, Internet, Private, Corporate, B2B, Minicorn",Private,2007 (17 yrs old),51-200,,https://saankhyalabs.com/,Corporate,Small
Amber Enterprises India,3.9,(440 reviews),0,"Consumer Electronics & Appliances, Internet, Industrial Equipment / Machinery, Public, Corporate, B2B",Public,1990 (34 yrs old),1001-5000,,http://www.ambergroupindia.com/,Corporate,Medium
Samarthanam Trust for the Disabled,4.1,(31 reviews),0,"NGO / Social Services / Industry Associations, Private, Corporate, B2C",Private,1997 (27 yrs old),201-500,,http://www.samarthanam.org,Corporate,Medium
Pioneer e Solutions,3.6,(114 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2012 (12 yrs old),1001-5000,,https://pioneeresolutions.in/,Corporate,Medium
Amar Tea,4.2,(61 reviews),0,"Food Processing, Financial Services, Private, Corporate, B2C, B2B",Private,1933 (91 yrs old),,,https://www.societytea.in/,Corporate,
Rallis,4.2,(588 reviews),1.5K followers ,"Fertilizers / Pesticides / Agro chemicals, Public, Corporate, B2C, B2B",Public,1948 (76 yrs old),1001-5000,,https://www.rallis.co.in/index.aspx,Corporate,Medium
A One Innovation Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),Nov-50,,http://www.aoneinnovation.com,Corporate,Small
Saraswati Vidya Mandir,4.1,(94 reviews),0,"Education / Training, Public, Corporate, B2C",Public,1976 (48 yrs old),51-200,,,Corporate,Small
Mobikwik,,,354 followers ,"FinTech / Payments, Financial Services, Internet, Private, Corporate, B2C, B2B",Private,2009 (15 yrs old),201-500,,,Corporate,Medium
New Look Laser Clinic,,,0,"Medical Services / Hospital, Private, Corporate, B2C",Private,1994 (30 yrs old),Nov-50,,https://www.newlooklaserclinic.com/,Corporate,Small
Woodpecker Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,1991 (33 yrs old),Nov-50,,http://www.woodpeckertechnologies.com/,Corporate,Small
Onward Technologies,,,0,"Software Product, Public, Corporate, B2C, B2B",Public,1991 (33 yrs old),1001-5000,"Mumbai, Maharashtra",http://www.onwardgroup.com,Corporate,Medium
Taikee,4.1,(442 reviews),116 followers ,"Software Product, FMCG, Internet, Retail, Recruitment / Staffing, Private, Corporate, B2B, Minicorn",Private,2010 (14 yrs old),201-500,,https://www.peel-works.com,Corporate,Medium
DigiMantra,3.7,(24 reviews),0,"IT Services & Consulting, Gaming, Software Product, LLP, Corporate, B2B",LLP,2008 (16 yrs old),51-200,"Mohali, Punjab",https://digimantralabs.com/,Corporate,Small
Somic ZF Components,4.2,(238 reviews),0,"Auto Components, Iron & Steel, Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1995 (29 yrs old),201-500,,http://www.somiczfindia.com/#top,Corporate,Medium
VitalityBSS,,,0,"BPO / Call Centre, LLP, Corporate, B2B",LLP,2000 (24 yrs old),,,https://vitalitybss.com/,Corporate,
Karmick Solutions,4.5,(17 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,1999 (25 yrs old),51-200,,http://www.karmicksolutions.com,Corporate,Small
Experis,,,0,"Recruitment / Staffing, IT Services & Consulting, Private, Corporate, B2B",Private,1998 (26 yrs old),1001-5000,,https://www.experisIndia.com/,Corporate,Medium
Brain4ce Education Solutions,,,0,"e-Learning / EdTech, Private, Startup, Corporate, B2C, B2B",,,,,,Corporate,
Vertex Infosoft Solutions,,,0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,1999 (25 yrs old),51-200,,,Corporate,Small
Celon ,,,0,"Pharmaceutical & Life Sciences, Financial Services, Private, Corporate, B2B",Private,2007 (17 yrs old),501-1000,,http://www.celonlabs.com/,Corporate,Medium
Credencys Solutions,4.1,(34 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2008 (16 yrs old),51-200,,http://www.credencys.com/,Corporate,Small
Killer Jeans,4.0,(114 reviews),0,"Textile & Apparel, Financial Services, Public, Corporate, B2C",Public,1981 (43 yrs old),1001-5000,,http://www.kewalkiran.com,Corporate,Medium
Anita Dongre,4.2,(458 reviews),5.4K followers ,"Textile & Apparel, Private, Corporate, B2C",Private,1998 (26 yrs old),1001-5000,,https://www.anitadongre.com/,Corporate,Medium
Karle Infra,3.9,(71 reviews),0,"Real Estate, Engineering & Construction, Private, Corporate, B2C, B2B",Private,2011 (13 yrs old),201-500,,http://www.karleinfra.com,Corporate,Medium
Jivo Wellness,3.7,(126 reviews),0,"FMCG, Private, Corporate, B2C, B2B",Private,2008 (16 yrs old),51-200,,http://WWW.JIVO.IN,Corporate,Small
TRUGlobal,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),201-500,,http://www.truglobal.com,Corporate,Medium
Yuva trip,,,0,"Travel & Tourism, Private, Corporate, B2C",Private,2012 (12 yrs old),51-200,,https://yuvatrip.com/,Corporate,Small
Vivanta Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2012 (12 yrs old),51-200,,http://www.vivantatechnologies.com,Corporate,Small
Flamingo Pharmaceuticals,,,120 followers ,"Pharmaceutical & Life Sciences, Public, Corporate, B2C",Public,1985 (39 yrs old),1001-5000,,,Corporate,Medium
Tata AIA Life Insurance,4.1,(2.8K reviews),15.1K followers ,"Insurance, Financial Services, Private, Corporate, B2C",Private,2001 (23 yrs old),10001-50000,"Mumbai, Maharashtra",https://www.tataaia.com/,Corporate,Large
Kriscent Techno Hub,3.9,(7 reviews),143 followers ,"Software Product, Private, Corporate, B2B",Private,2014 (10 yrs old),Nov-50,,,Corporate,Small
Loyal Textile Mills,3.6,(91 reviews),0,"Textile & Apparel, Public, Corporate, B2B",Public,1946 (78 yrs old),1001-5000,,https://www.loyaltextiles.com,Corporate,Medium
Drychem Solution,3.7,(59 reviews),0,"Building Material, Private, Corporate, B2C, B2B",Private,2002 (22 yrs old),,,http://drychem.com,Corporate,
Bo International,3.9,(108 reviews),0,"Beauty & Personal Care, Corporate, B2C",Proprietorship,2013 (11 yrs old),51-200,,https://www.boessentialoil.com/,Corporate,Small
Elan Professional Appliances,3.6,(25 reviews),0,"Consumer Electronics & Appliances, Corporate, B2C, B2B",,2009 (15 yrs old),,,http://www.elan.pk,Corporate,
Fragomen,4.1,(141 reviews),0,"Travel & Tourism, Legal, Private, Corporate, B2C",Private,1951 (73 yrs old),1001-5000,,https://www.fragomen.com/,Corporate,Medium
Dr Batras,3.7,(412 reviews),164 followers ,"Medical Services / Hospital, Private, Corporate, B2C",Private,1982 (42 yrs old),501-1000,"Mumbai, Maharashtra",https://www.drbatras.com/,Corporate,Medium
Uneecops Technologies,4.0,(246 reviews),0,"IT Services & Consulting, Analytics / KPO / Research, Private, Corporate, B2B",Private,1995 (29 yrs old),501-1000,"New Delhi, India",https://www.uneecops.com,Corporate,Medium
MasterTech Web Applications,,,0,"IT Services & Consulting, Internet, LLP, Corporate, B2B",LLP,2011 (13 yrs old),51-200,,http://www.mastertech.co.in/,Corporate,Small
Amber Enterprises India,3.9,(440 reviews),0,"Consumer Electronics & Appliances, Internet, Industrial Equipment / Machinery, Public, Corporate, B2B",Public,1990 (34 yrs old),1001-5000,,http://www.ambergroupindia.com/,Corporate,Medium
Make My House,,,0,"Architecture / Interior Design, Engineering & Construction, Corporate, B2C",,2012 (12 yrs old),,,http://www.makemyhouse.com,Corporate,
Star Health Insurance,3.8,(1.5K reviews),873 followers ,"Insurance, Private, Corporate, B2C",Private,2006 (18 yrs old),10001-50000,,http://www.starhealth.in,Corporate,Large
Evolent Health,3.9,(260 reviews),1.7K followers ,"Software Product, Internet, Public, Corporate, B2B",Public,2011 (13 yrs old),1001-5000,"Arlington, Virginia",http://www.evolenthealth.com,Corporate,Medium
LG Soft India,,,21.2K followers ,"Consumer Electronics & Appliances, Automobile, Software Product, Private, Corporate, B2C, B2B",Private,1996 (28 yrs old),1001-5000,"Bengaluru/Bangalore, Karnataka",https://www.lgsoftindia.com/,Corporate,Medium
Ascent Business Solutions,,,0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,2001 (23 yrs old),1001-5000,,http://www.ascent-group.com,Corporate,Medium
MyMoneyMantra,,,0,"Internet, Financial Services, Investment Banking / Venture Capital / Private Equity, Private, Corporate, B2C, B2B, Minicorn",Private,1989 (35 yrs old),1001-5000,,https://www.mymoneymantra.com,Corporate,Medium
Intex Technologies,3.7,(728 reviews),178 followers ,"Consumer Electronics & Appliances, Public, Corporate, Indian MNC, B2C",Public,1996 (28 yrs old),10001-50000,,https://www.intex.in/,Corporate,Large
Kauvery Hospital,4.0,(289 reviews),330 followers ,"Medical Services / Hospital, Public, Corporate, B2C",Public,1999 (25 yrs old),1001-5000,"Chennai, India",http://www.kauveryhospital.com,Corporate,Medium
Weavetex,4.1,(105 reviews),0,"Textile & Apparel, Import & Export, Private, Corporate, B2B",Private,1969 (55 yrs old),1001-5000,,,Corporate,Medium
Aryson Technologies,4.6,(63 reviews),0,"Software Product, Private, Corporate, B2B",Private,2014 (10 yrs old),Nov-50,,,Corporate,Small
Shri Venkateshwara University,4.4,(118 reviews),0,"Education / Training, Private, Corporate, B2C",Private,2010 (14 yrs old),501-1000,,https://svu.edu.in/,Corporate,Medium
Expert Global Solutions,,,0,"BPO / Call Centre, Recruitment / Staffing, Corporate, B2B",,1999 (25 yrs old),1001-5000,,,Corporate,Medium
Huhtamaki,3.9,(655 reviews),0,"Packaging & Containers, Private, Corporate, B2B",Private,1935 (89 yrs old),10001-50000,,,Corporate,Large
Jash Engineering,4.2,(101 reviews),0,"Engineering & Construction, Financial Services, Public, Corporate, B2B",Public,1948 (76 yrs old),201-500,,http://www.jashindia.com,Corporate,Medium
Flamingo Digital,3.8,(14 reviews),0,"Advertising & Marketing, Private, Corporate, B2B",Private,2015 (9 yrs old),51-200,,https://www.weareflamingo.digital/,Corporate,Small
RVS Infosoft,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),Nov-50,,http://www.rvsinfosoft.com/,Corporate,Small
Netweb Software,4.2,(45 reviews),0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,1998 (26 yrs old),51-200,,http://www.netweb.biz,Corporate,Small
Zymr Systems,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2012 (12 yrs old),51-200,,https://www.zymr.com/,Corporate,Small
Alembic Pharmaceuticals,4.0,(2.7K reviews),70.3K followers ,"Pharmaceutical & Life Sciences, Real Estate, Engineering & Construction, Biotechnology, Public, Corporate, B2B",Public,1907 (117 yrs old),5001-10000,"Vadodara, Gujarat",http://www.alembicpharmaceuticals.com,Corporate,Medium
ProProfs,3.8,(87 reviews),0,"Software Product, Private, Corporate, B2B, SaaS",Private,2010 (14 yrs old),Nov-50,"San Francisco, California",http://www.proprofs.com,Corporate,Small
Autocomp Corporation Panse,,,0,"Auto Components, Metals & Mining, Private, Corporate, B2B",Private,1983 (41 yrs old),201-500,,http://www.pansegroup.co.in,Corporate,Medium
Wonderla Holidays,4.5,(289 reviews),0,"Hotels & Restaurants, Public, Corporate, B2C",Public,2000 (24 yrs old),1001-5000,,http://www.wonderla.com,Corporate,Medium
Zorba the Buddha,,,0,"NGO / Social Services / Industry Associations, NGO/NPO, Corporate, B2C",NGO/NPO,2008 (16 yrs old),Nov-50,,,Corporate,Small
Target Publications,3.8,(96 reviews),0,"Printing & Publishing, Education / Training, Private, Corporate, B2C",Private,2006 (18 yrs old),51-200,,,Corporate,Small
Religiate Interactive,,,0,"Advertising & Marketing, Private, Corporate, B2C",Private,2014 (10 yrs old),Nov-50,,http://www.religiate.com,Corporate,Small
Webpulse Solution,4.2,(41 reviews),0,"Advertising & Marketing, Private, Corporate, B2C, B2B",Private,2011 (13 yrs old),51-200,"New Delhi, Delhi",http://www.webpulseindia.com,Corporate,Small
Vikrant Forge,3.7,(20 reviews),0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1992 (32 yrs old),51-200,,http://www.vikrantforge.com,Corporate,Small
Gargi Huttenes Albertus Pvt Ltd,,,319 followers ,"Chemicals, JV, Corporate, B2B",JV,1970 (54 yrs old),1001-5000,,https://www.ha-group.com/en/,Corporate,Medium
Atees Infomedia,4.1,(18 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2006 (18 yrs old),51-200,,http://www.atees.in,Corporate,Small
KJS Cement,3.9,(212 reviews),0,"Building Material, Engineering & Construction, Private, Corporate, B2B",Private,2012 (12 yrs old),5001-10000,,http://www.kjscement.com,Corporate,Medium
Educational Initiatives (EI),3.9,(133 reviews),0,"e-Learning / EdTech, Internet, Education / Training, Private, Corporate, B2C, SaaS, Minicorn",Private,2001 (23 yrs old),201-500,,,Corporate,Medium
Capricot Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2013 (11 yrs old),201-500,,http://www.capricot.com,Corporate,Medium
Akhil Systems,3.6,(24 reviews),0,"Medical Services / Hospital, Private, Corporate, B2B",Private,1989 (35 yrs old),51-200,,http://www.akhilsystems.com,Corporate,Small
Acelerar Technologies,3.9,(55 reviews),0,"Recruitment / Staffing, Private, Corporate, B2B",Private,2010 (14 yrs old),Nov-50,,http://www.acelerartech.com,Corporate,Small
Ultra Drugs,,,0,"Film / Music / Entertainment, Private, Corporate, B2B",Private,2007 (17 yrs old),51-200,,https://www.ultradrugs.co.in,Corporate,Small
Sleek Infosolutions,3.9,(26 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),51-200,,https://www.sleekinfosolutions.com/index.html,Corporate,Small
Mrs Bectors Foods Specialities Ltd,4.1,(209 reviews),172 followers ,"Food Processing, FMCG, Public, Corporate, B2C, Conglomerate",Public,1978 (46 yrs old),501-1000,,http://www.cremica.com,Corporate,Medium
Renault Nissan Technology and Business Centre India (RNTBCI),3.9,(1.4K reviews),15.9K followers ,"Automobile, Corporate, B2B",,2007 (17 yrs old),5001-10000,,https://rntbci.in/,Corporate,Medium
Geosys IT Solutions,4.9,(5 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2008 (16 yrs old),Nov-50,,http://www.geosysitsolutions.com,Corporate,Small
Aeicorp Technologies,4.3,(10 reviews),0,"Power, Corporate, B2B",,1991 (33 yrs old),,,http://www.aeicorp.com/,Corporate,
Hy Gro,3.9,(136 reviews),0,"Pharmaceutical & Life Sciences, Private, Corporate, B2B",Private,1970 (54 yrs old),Nov-50,Secunderabad,http://hygrochemicals.com/,Corporate,Small
Sulphur Mills,4.0,(135 reviews),103 followers ,"Fertilizers / Pesticides / Agro chemicals, Chemicals, Public, Corporate, B2C",Public,1960 (64 yrs old),1001-5000,"Mumbai, Maharashtra",https://sml-ltd.com/,Corporate,Medium
Dynaflex,,,0,"Packaging & Containers, Private, Corporate, B2B",Private,1994 (30 yrs old),201-500,,http://www.dynacorp.in,Corporate,Medium
Praxcode Technologies,,,0,"Internet, Financial Services, Fitness & Wellness, Medical Services / Hospital, Private, Corporate, B2C, B2B, Soonicorn",Private,2008 (16 yrs old),5001-10000, Bengaluru,https://www.practo.com,Corporate,Medium
IZAAP Technologies,4.2,(8 reviews),0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2009 (15 yrs old),51-200,,https://izaaptech.com/,Corporate,Small
Indore Composite,4.1,(100 reviews),0,"Telecom / ISP, Private, Corporate, B2B",Private,1995 (29 yrs old),501-1000,,https://indore.co.in/,Corporate,Medium
AXIS MY INDIA,4.0,(243 reviews),0,"Analytics / KPO / Research, Advertising & Marketing, Private, Corporate, B2B",Private,1998 (26 yrs old),51-200,,https://www.axismyindia.org/,Corporate,Small
Renew,4.3,(871 reviews),11.6K followers ,"Power, Private, Corporate, B2B",Private,2011 (13 yrs old),1001-5000,"Gurgaon/Gurugram, Haryana",https://www.renew.com/,Corporate,Medium
Sara Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.sarasolutions.in,Corporate,Small
