Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category,Small,Medium,Large
Volga Infotech,4.0,(13 reviews),0,"IT Services & Consulting, BPO / Call Centre, Private, Corporate, B2B",Private,2008 (16 yrs old),Nov-50,,http://www.volgainfotech.com,Corporate,Small,True,False,False
VMR Vision,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),02-Oct,,http://www.vmrvision.com/,Corporate,Small,True,False,False
Vasan Eye Care,4.0,(256 reviews),384 followers ,"Medical Services / Hospital, Private, Corporate, B2C",Private,2002 (22 yrs old),5001-10000,,,Corporate,Medium,False,True,False
Hungama,,,1.5K followers ,"Film / Music / Entertainment, Media & Entertainment / Publishing, Corporate, B2C, B2B",,1999 (25 yrs old),501-1000,,,Corporate,Medium,False,True,False
Mirza International,3.9,(242 reviews),0,"Textile & Apparel, Retail, Public, Corporate, B2C",Public,1979 (45 yrs old),5001-10000,,http://www.mirza.co.in,Corporate,Medium,False,True,False
Copart India,4.1,(94 reviews),0,"Automobile, IT Services & Consulting, Corporate, B2B",,1982 (42 yrs old),,,http://www.copart.com,Corporate,,False,False,False
Vedams Software Solutions,4.7,(9 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2000 (24 yrs old),Nov-50,,https://www.vedams.com,Corporate,Small,True,False,False
InSemi Technology Services,4.1,(51 reviews),174 followers ,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2013 (11 yrs old),1001-5000,"Bangalore / Bengaluru, Karnataka",https://www.insemitech.com/,Corporate,Medium,False,True,False
Acme Infolabs,5.0,(58 reviews),0,"IT Services & Consulting, Analytics / KPO / Research, Private, Corporate, B2B",Private,2016 (8 yrs old),51-200,,https://www.acmeinfolabs.com,Corporate,Small,True,False,False
Actis Technologies,4.1,(106 reviews),0,"IT Services & Consulting, Telecom / ISP, Private, Corporate, B2B",Private,1971 (53 yrs old),201-500,,https://www.actis.co.in/,Corporate,Medium,False,True,False
Aimil,,,0,"Pharmaceutical & Life Sciences, Engineering & Construction, Private, Corporate, B2B",Private,1932 (92 yrs old),501-1000,,https://www.aimil.com/,Corporate,Medium,False,True,False
Saraswati Online.Com,4.4,(10 reviews),0,"e-Learning / EdTech, Private, Corporate, B2C",Private,2000 (24 yrs old),51-200,,,Corporate,Small,True,False,False
Cargo Motors,3.8,(202 reviews),0,"Automobile, Retail, Private, Corporate, B2B",Private,1959 (65 yrs old),1001-5000,,http://www.cargomotors.com/,Corporate,Medium,False,True,False
HyTech Professionals,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),201-500,,https://www.hytechpro.com/,Corporate,Medium,False,True,False
Dynakode Technology,4.4,(8 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),Nov-50,,https://dynakode.com/,Corporate,Small,True,False,False
Rance Computer,,,0,"Software Product, Internet, Private, Corporate, B2B",Private,1996 (28 yrs old),51-200,,,Corporate,Small,True,False,False
